Date,Public Holiday AG
2023-04-10 07:00:00,Ostermontag
2023-04-10 08:00:00,Ostermontag
2023-04-10 09:00:00,Ostermontag
2023-04-10 10:00:00,Ostermontag
2023-04-10 11:00:00,Ostermontag
2023-04-10 12:00:00,Ostermontag
2023-04-10 13:00:00,Ostermontag
2023-04-10 14:00:00,Ostermontag
2023-04-10 15:00:00,Ostermontag
2023-04-10 16:00:00,Ostermontag
2023-04-10 17:00:00,Ostermontag
2023-04-10 18:00:00,Ostermontag
2023-04-10 19:00:00,Ostermontag
2023-04-10 20:00:00,Ostermontag
2023-04-10 21:00:00,Ostermontag
2023-04-10 22:00:00,Ostermontag
2023-04-10 23:00:00,Ostermontag
2023-05-01 00:00:00,Tag der Arbeit
2023-05-01 01:00:00,Tag der Arbeit
2023-05-01 02:00:00,Tag der Arbeit
2023-05-01 03:00:00,Tag der Arbeit
2023-05-01 04:00:00,Tag der Arbeit
2023-05-01 05:00:00,Tag der Arbeit
2023-05-01 06:00:00,Tag der Arbeit
2023-05-01 07:00:00,Tag der Arbeit
2023-05-01 08:00:00,Tag der Arbeit
2023-05-01 09:00:00,Tag der Arbeit
2023-05-01 10:00:00,Tag der Arbeit
2023-05-01 11:00:00,Tag der Arbeit
2023-05-01 12:00:00,Tag der Arbeit
2023-05-01 13:00:00,Tag der Arbeit
2023-05-01 14:00:00,Tag der Arbeit
2023-05-01 15:00:00,Tag der Arbeit
2023-05-01 16:00:00,Tag der Arbeit
2023-05-01 17:00:00,Tag der Arbeit
2023-05-01 18:00:00,Tag der Arbeit
2023-05-01 19:00:00,Tag der Arbeit
2023-05-01 20:00:00,Tag der Arbeit
2023-05-01 21:00:00,Tag der Arbeit
2023-05-01 22:00:00,Tag der Arbeit
2023-05-01 23:00:00,Tag der Arbeit
2023-05-29 00:00:00,Pfingstmontag
2023-05-29 01:00:00,Pfingstmontag
2023-05-29 02:00:00,Pfingstmontag
2023-05-29 03:00:00,Pfingstmontag
2023-05-29 04:00:00,Pfingstmontag
2023-05-29 05:00:00,Pfingstmontag
2023-05-29 06:00:00,Pfingstmontag
2023-05-29 07:00:00,Pfingstmontag
2023-05-29 08:00:00,Pfingstmontag
2023-05-29 09:00:00,Pfingstmontag
2023-05-29 10:00:00,Pfingstmontag
2023-05-29 11:00:00,Pfingstmontag
2023-05-29 12:00:00,Pfingstmontag
2023-05-29 13:00:00,Pfingstmontag
2023-05-29 14:00:00,Pfingstmontag
2023-05-29 15:00:00,Pfingstmontag
2023-05-29 16:00:00,Pfingstmontag
2023-05-29 17:00:00,Pfingstmontag
2023-05-29 18:00:00,Pfingstmontag
2023-05-29 19:00:00,Pfingstmontag
2023-05-29 20:00:00,Pfingstmontag
2023-05-29 21:00:00,Pfingstmontag
2023-05-29 22:00:00,Pfingstmontag
2023-05-29 23:00:00,Pfingstmontag
2023-06-08 00:00:00,Fronleichnam
2023-06-08 01:00:00,Fronleichnam
2023-06-08 02:00:00,Fronleichnam
2023-06-08 03:00:00,Fronleichnam
2023-06-08 04:00:00,Fronleichnam
2023-06-08 05:00:00,Fronleichnam
2023-06-08 06:00:00,Fronleichnam
2023-06-08 07:00:00,Fronleichnam
2023-06-08 08:00:00,Fronleichnam
2023-06-08 09:00:00,Fronleichnam
2023-06-08 10:00:00,Fronleichnam
2023-06-08 11:00:00,Fronleichnam
2023-06-08 12:00:00,Fronleichnam
2023-06-08 13:00:00,Fronleichnam
2023-06-08 14:00:00,Fronleichnam
2023-06-08 15:00:00,Fronleichnam
2023-06-08 16:00:00,Fronleichnam
2023-06-08 17:00:00,Fronleichnam
2023-06-08 18:00:00,Fronleichnam
2023-06-08 19:00:00,Fronleichnam
2023-06-08 20:00:00,Fronleichnam
2023-06-08 21:00:00,Fronleichnam
2023-06-08 22:00:00,Fronleichnam
2023-06-08 23:00:00,Fronleichnam
2023-08-15 00:00:00,Mariä Himmelfahrt
2023-08-15 01:00:00,Mariä Himmelfahrt
2023-08-15 02:00:00,Mariä Himmelfahrt
2023-08-15 03:00:00,Mariä Himmelfahrt
2023-08-15 04:00:00,Mariä Himmelfahrt
2023-08-15 05:00:00,Mariä Himmelfahrt
2023-08-15 06:00:00,Mariä Himmelfahrt
2023-08-15 07:00:00,Mariä Himmelfahrt
2023-08-15 08:00:00,Mariä Himmelfahrt
2023-08-15 09:00:00,Mariä Himmelfahrt
2023-08-15 10:00:00,Mariä Himmelfahrt
2023-08-15 11:00:00,Mariä Himmelfahrt
2023-08-15 12:00:00,Mariä Himmelfahrt
2023-08-15 13:00:00,Mariä Himmelfahrt
2023-08-15 14:00:00,Mariä Himmelfahrt
2023-08-15 15:00:00,Mariä Himmelfahrt
2023-08-15 16:00:00,Mariä Himmelfahrt
2023-08-15 17:00:00,Mariä Himmelfahrt
2023-08-15 18:00:00,Mariä Himmelfahrt
2023-08-15 19:00:00,Mariä Himmelfahrt
2023-08-15 20:00:00,Mariä Himmelfahrt
2023-08-15 21:00:00,Mariä Himmelfahrt
2023-08-15 22:00:00,Mariä Himmelfahrt
2023-08-15 23:00:00,Mariä Himmelfahrt
2023-09-17 00:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 01:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 02:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 03:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 04:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 05:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 06:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 07:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 08:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 09:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 10:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 11:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 12:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 13:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
2023-09-17 14:00:00,"Eidgenössischer Dank-, Buss- und Bettag"
