,Datum,Standort,Parameter,Intervall,Einheit,Wert,Status
507896,2021-10-07 11:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,379.94,bereinigt
507918,2021-10-07 12:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,259.86,bereinigt
507940,2021-10-07 13:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,289.46,bereinigt
507962,2021-10-07 14:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,258.99,bereinigt
507984,2021-10-07 15:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,224.54,bereinigt
508006,2021-10-07 16:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,50.75,bereinigt
508028,2021-10-07 17:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,1.27,bereinigt
508050,2021-10-07 18:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
508072,2021-10-07 19:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508094,2021-10-07 20:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
508116,2021-10-07 21:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508138,2021-10-07 22:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508160,2021-10-07 23:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508182,2021-10-08 00:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
508204,2021-10-08 01:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
508226,2021-10-08 02:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508248,2021-10-08 03:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508270,2021-10-08 04:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.02,bereinigt
508292,2021-10-08 05:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,0.03,bereinigt
508314,2021-10-08 06:00:00,Zch_Stampfenbachstrasse,StrGlo,h1,W/m2,1.02,bereinigt
